Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/canvas-analysis-miro,"By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data.  This will enable you to identify and map the elements required for new products and services. Furthermore, it is essential for generating positive results for your business venture. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in strategy and product development with the Miro platform to explore and analyse your business propositions.   We will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections.",Finance  business plan  persona (user experience)  business model canvas  Planning  Business  project  Product Development  presentation  Strategy business business-strategy
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,"Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework.  Test automation frameworks are a set of guidelines or rules for writing test cases.  They can reduce maintenance costs and testing efforts and will provide a higher return on investment (ROI) for teams looking to optimize their processes.  Testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies.  Through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs.",maintenance  test case  test automation  screenshot  project  helper class  selenium  reusability  debugging  php computer-science software-development
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,Intermediate,4.3,https://www.coursera.org/learn/nonprofit-gov-2,"This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. While the course has been developed with North American culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. Nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world.   To learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/SXZEZS.  Keywords: Nonprofit; Nonprofit Sector; Voluntary Sector; Nonprofit Organizations, Non-Governmental Organizations, Volunteer Organizations, Leadership, Management, Governance, Board, Board of Directors, Performance, Effectiveness  Course 2 Overview:   Week 1: Some of the questions to be explored this week are: What is the board's role in planning for the organization's future and why is it important for nonprofit organizations to do it? What is strategic planning and what can boards do to carry this out effectively?   Week 2: This week's questions: What is the board's role in assessing the performance of the organization? Why is performance assessment important? Why do many boards have difficulty meeting their performance assessment responsibilities?   Week 3: This week's questions: What are the elements of the fundraising/resource development process? What is the board's role in ensuring the organization has adequate funding? What information should be in a resource development plan?   Week 4: At this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a BEAR (Board Effectiveness Readiness Assessment), and take two multiple choice Readiness Assurance Tests (known similarly as RATs). One RAT will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case.    Week 5: We will encourage you to discuss the RATs in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged.",Planning  Peer Review  fundraising  strategic planning  resource  concept testing  leadership  measurement  performance  evaluation business leadership-and-management
Business Russian Communication. Part 3,Saint Petersburg State University,Intermediate,Not Calibrated,https://www.coursera.org/learn/business-russian-communication-3,"Russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation. This course is aimed at those who wants to work in Russia, do business with Russian partners or study on business-related majors in Russian.   In three units of this intensive course learners are going to find out how to discuss terms of cooperationand prices, describe market situation and make a successful presentation of their companies, goods or services. The course is the third part of Business Russian Communication series of courses offered by St Petersburg State University. This part introduces such grammar topics as numerals and nouns in the Genitive case, Genitive case with prepositions, verbs of motion with unpaired prefixes and declension of adjectives. Learners can practice their skills and test themselves in Grammar quiz section. The course provides extensive vocabulary with more than 100 new words and conversational phrases which learners can use in their everyday communication on professional or informal topics. Each unit of the course contains dialogues, which are extremely useful for those who wants to listen to original Russian speech and get used to the pace and intonations of Russian language. Scripts and exercises are provided for all dialogues of the course. In the end of the course learners will have a chance to use the material leant and assess their progress while preparing the Final Assignment. This course is aimed at those who already achieved A2-A2+ level in Russian.",Russian  market (economics)  tax exemption  cooperation  Communication  Taxes  adjective  h.e.a.r.  listening  c dynamic memory allocation language-learning other-languages
Agile Projects:  Developing Tasks with Taiga,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/developing-agile-tasks-taiga,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks.   This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services.   We will practice critically defining how user stories become valuable tasks for creating functionality for products and services.",project  modeling  Project Management  agile management  user story  presentation  Product Development  Leadership and Management  documents  Web Design business business-strategy
Esports Management Capstone Project,"University of California, Irvine",Beginner,4.4,https://www.coursera.org/learn/esports-management-capstone-project,"We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations. You will develop a plan for recruiting funding resources for a hypothetical Esports organization and choose an Esport organization role of interest, other than Owner, and describe your reasoning.",Average  Planning  Leadership and Management  Peer Review  Strategy  peering  evaluation  Recruiting  project  interest business leadership-and-management
Hacking and Patching,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/hacking-patching,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn how to patch these web apps with input validation using regular expression. You will learn a security design pattern to avoid introducing injection vulnerabilities by input validation and replacing generic system calls with specific function calls.  You will learn how to hack web apps with SQL injection vulnerabilities and retrieve user profile information and passwords.  You will learn how to patch them with input validation and SQL parameter binding.  You will learn the hacking methodology, Nessus tool for scanning vulnerabilities, Kali Linux for penetration testing, and Metasploit Framework for gaining access to vulnerable Windows Systems, deploying keylogger, and perform Remote VNC server injection.  You will learn security in memory systems and virtual memory layout, and understand buffer overflow attacks and their defenses.  You will learn how to clone a Kali instance with AWS P2 GPU support and perform hashcat password cracking using dictionary attacks and known pattern mask attacks.",Security Design  design pattern  web application  internet security  SQL  select (sql)  metasploit project  penetration test  security  password cracking computer-science computer-security-and-networks
Global Health: An Interdisciplinary Overview,University of Geneva,Beginner,4.6,https://www.coursera.org/learn/global-health-overview,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global health.",sustainability  research and development  Communication  health system  Leadership and Management  health research  global  disease  drug development  public health life-sciences public-health
Python Programming Essentials,Rice University,Beginner,4.8,https://www.coursera.org/learn/python-programming,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.  By the end of the course, you will be able to write short Python programs that are able to accomplish real, practical tasks. This course is the foundation for building expertise in Python programming. As the first course in a specialization, it provides the necessary building blocks for you to succeed at learning to write more complex Python programs.  This course uses Python 3.  While many Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This first course will use a Python 3 version of the CodeSkulptor development environment, which is specifically designed to help beginning programmers learn quickly.  CodeSkulptor runs within any modern web browser and does not require you to install any software, allowing you to start writing and running small programs immediately.  In the later courses in this specialization,  we will help you to move to more sophisticated desktop development environments.",semantics  Python Programming  coding conventions  codeskulptor  Problem Solving  syntax  Computer Programming  programming style  python syntax and semantics  euler's totient function computer-science software-development
Creating Dashboards and Storytelling with Tableau,"University of California, Davis",Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards,"Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.  You will balance the goals of your stakeholders with the needs of your end-users, and be able to structure and organize your story for maximum impact. Throughout the course you will apply more Advanced functions within Tableau, such as hierarchies, actions and parameters to guide user interactions.  For your final project, you will create a compelling narrative to be delivered in a meeting, as a static report, or in an interactive display online.",neuroscience  Data Visualization  Storytelling  tableau software  business analytics  checklists  software  method of analytic tableaux  javascript syntax  audience data-science data-analysis
The Changing Arctic,National Research Tomsk State University,Not Calibrated,4.3,https://www.coursera.org/learn/changing-arctic,"What will I learn? After taking this course you will have an understanding of Arctic landscapes, how they were formed and how they are changing. You will also learn how scientists from countries around the North are working together to understand how these changes will affect the People of the North and the global community. You will experience a range of scientific topics, up-to-date-methods for understanding our environment, and the current consensus views on the future of the Arctic environment.  Do I need prior knowledge? No prior knowledge is needed for this course; participants should only come equipped with natural curiosity and a willingness to invest time in understanding an environmental issue of global concern. The terms and concepts are targeted at an educated public, not specialists, but resources will be provided so those who are motivated can explore some issues in more depth.",Human Learning  Geology  curiosity  methane  Problem Solving  plant  biologist  resource  dam  volatile organic compound life-sciences basic-science
COVID-19 - A clinical update,University of Florida,Beginner,4.7,https://www.coursera.org/learn/covid19clinicalupdate,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic. How did this disease develop? Where did it come from? How does it cause diseases?  The answers to these questions will be answered in the first video of module 1. The world has been startled and frightened by the rapid spread of this virus throughout the world. In Video 2  the epidemiology as presently understood is reviewed. This video will be periodically updated recognizing the rapid progression of the pandemic. Many want to know how does this disease present, what are the symptoms associated with COVID-19? How dangerous is COVID-19? Who is at risk of dying? All these questions are answered in Video 3. And finally how is this disease best treated and how can we slow the spread of the infection? These questions are answered in video 4.  In addition to the videos multiple choice questions are included to test your understanding and there is an epidemiology peer reviewed exercise designed to teach you how this infection is spread and to show the power of the tracing of cases and isolating those who are infected. The second peer review exercise will encourage you to create a campaign to shift your countries culture to embrace behaviors that can lead to suppression of the epidemic, behaviors that will save lives. After completing this course you will be armed with the knowledge and skills to make a difference and help to bend the curve.",disease  mechanical ventilation  vaccine  outbreak  epidemic  medical history  intubation  Epidemics  patient  social distancing life-sciences patient-care
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,Beginner,4.5,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""  This course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help create your own custom preparation plan. It helps you distinguish what you know from what you don't know. And it helps you develop and practice skills required of practitioners who perform this job.  The course follows the organization of the Exam Guide outline, presenting highest-level concepts, ""touchstones"", for you to determine whether you feel confident about your knowledge of that area and its dependent concepts, or if you want more study. You also will learn about and have the opportunity to practice key job skills, including cognitive skills such as case analysis, identifying technical watchpoints, and developing proposed solutions. These are job skills that are also exam skills. You will also test your basic abilities with Activity Tracking Challenge Labs. And you will have many sample questions similar to those on the exam, including solutions. The end of the course contains an ungraded practice exam quiz, followed by a graded practice exam quiz that simulates the exam-taking experience.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",business requirements  Cloud Computing  Google Cloud Platform  information engineering  Cloud Platforms  google cloud dataproc  dataflow  Databases  bigquery  Machine Learning information-technology cloud-computing
Multiple Regression Analysis in Public Health,Johns Hopkins University,Intermediate,4.6,https://www.coursera.org/learn/multiple-regression-analysis-public-health,"Biostatistics is the application of statistical reasoning to the life sciences, and it's the key to unlocking the data gathered by researchers and the evidence presented in the scientific public health literature. In this course, you'll extend simple regression to the prediction of a single outcome of interest on the basis of multiple variables. Along the way, you'll be introduced to a variety of methods, and you'll practice interpreting data and performing calculations on real data from published studies.  Topics include multiple logistic regression, the Spline approach, confidence intervals, p-values, multiple Cox regression, adjustment, and effect modification.",Regression Analysis  Regression  public health  Confounding  interaction (statistics)  Estimation  linear regression  Confidence Interval  odds ratio  Logistic Regression life-sciences health-informatics
Population Health: Alternative Payment Models,Universiteit Leiden,Advanced,4.9,https://www.coursera.org/learn/alternative-payment-models,"The way we currently pay our care providers lead to suboptimal outcomes and unnecessary spending. Consequently, we fail to maximize the value of our health care services. We need to change provider payment models in order to keep health care systems financial sustainability. Doing nothing is not an option. But the question is, how do we do it?   During this course, we will discuss the rationale for payment reforms and dive into the key design elements of Alternative Payment Models (APMs) and how they change care provider incentives. You will learn about a roadmap to design and implement APMs on your own. You will learn about behavioural economics and human behaviour which are essential to advance the design and implementation of APMs. After the course you can apply your sharpened skills to lead change in health care via innovative payment models in order to increase value of health care services.  This course is targeted at a variety of professionals in the healthcare sector in order to realise a common language. Are you a provider, board member, working at a public or private payer or researcher working in the health sector, this course is relevant for you!  This Course is part of the to-be-developed Leiden University master program Population Health Management. If you wish to find out more about this program see the last reading of this Course!",incentive  Behavioral Economics  loss aversion  modeling  enabling  relative change and difference  Financial Accounting  desire  Payments  Risk life-sciences healthcare-management
